"";"labels"
"Acaridae";2
"Acetobacteraceae";5
"Acidiferrobacteraceae";5
"Acidimicrobiaceae";5
"Acidobacteriaceae";5
"Acidothermaceae";5
"Acropisthiidae";12
"Acrospermaceae";13
"Actinochloridaceae";16
"Actinomycetaceae";5
"Actinospicaceae";5
"Adinetidae";4
"Alaimidae";6
"Alcaligenaceae";5
"Alicorhagiidae";18
"Ambisporaceae";20
"Amphileptidae";12
"Amphisiellidae";12
"Anaerolineaceae";5
"Anaeromyxobacteraceae";5
"Anatonchidae";11
"Anguinidae";14
"Anoplophryidae";20
"Anystidae";1
"Aphelenchidae";14
"Aphelenchoididae";14
"Aphididae";19
"Apiaceae";21
"Apocynaceae";21
"Aporcelaimidae";11
"Apusomonadidae";7
"Aquifoliaceae";21
"Archaeorhizomycetaceae";13
"Archaeosporaceae";20
"Archangiaceae";5
"Ascobolaceae";13
"Aspergillaceae";13
"Asteraceae";21
"Aurantimonadaceae";5
"Bacillaceae";5
"Bacillariaceae";16
"Bacteriovoracaceae";5
"Bacteroidaceae";5
"Bardeliellidae";7
"Basidiobolaceae";13
"Bdellovibrionaceae";5
"Beijerinckiaceae";5
"Betulaceae";21
"Bicosoecidae";4
"Bionectriaceae";13
"Blepharismidae";4
"Bodonidae";8
"Bolbitiaceae";13
"Botryidiopsidaceae";16
"Botryochloridaceae";16
"Bovidae";19
"Brachionidae";4
"Brachychthoniidae";18
"Braconidae";18
"Bracteacoccaceae";16
"Bradyrhizobiaceae";5
"Brassicaceae";21
"Brucellaceae";5
"Bryometopidae";22
"Bulleraceae";13
"Bulleribasidiaceae";13
"Burkholderiaceae";5
"Caldilineaceae";5
"Campodeidae";18
"Carabidae";18
"Caricaceae";21
"Caryophyllaceae";21
"Catenariaceae";13
"Catenulisporaceae";5
"Caulerpaceae";16
"Caulobacteraceae";5
"Cellulomonadaceae";5
"Cellvibrionaceae";5
"Cenarchaeaceae";23
"Centritractaceae";16
"Cephalobidae";6
"Ceratobasidiaceae";20
"Cercomonadidae";7
"Chaetophoraceae";16
"Chaetosphaeriaceae";13
"Chilodonellidae";24
"Chitinophagaceae";5
"Chlamydomonadaceae";16
"Chlamydophryidae";24
"Chlorellaceae";16
"Chlorococcaceae";16
"Chloroflexaceae";5
"Chromatiaceae";5
"Chromulinaceae";9
"Chthoniidae";1
"Chthoniobacteraceae";5
"Chytridiaceae";17
"Cinetochilidae";4
"Cladosporiaceae";19
"Claroideoglomeraceae";20
"Clavariaceae";13
"Clavicipitaceae";3
"Clavulinaceae";13
"Clostridiaceae";5
"Clostridiales Family XVII. Incertae Sedis";5
"Colpodidae";7
"Comamonadaceae";5
"Conexibacteraceae";5
"Convolvulaceae";21
"Cordycipitaceae";3
"Corticiaceae";13
"Coxiellaceae";5
"Crocinitomicaceae";5
"Cryphonectriaceae";13
"Cryptococcaceae";13
"Cucurbitaceae";21
"Cucurbitariaceae";13
"Cunninghamellaceae";13
