"";"labels"
"Acaridae";2
"Acetobacteraceae";8
"Acidiferrobacteraceae";8
"Acidimicrobiaceae";8
"Acidobacteriaceae";14
"Acidothermaceae";8
"Acropisthiidae";16
"Acrospermaceae";17
"Actinochloridaceae";22
"Actinomycetaceae";8
"Actinospicaceae";8
"Adinetidae";7
"Alaimidae";9
"Alcaligenaceae";8
"Alicorhagiidae";24
"Ambisporaceae";30
"Amphileptidae";16
"Amphisiellidae";16
"Anaerolineaceae";8
"Anaeromyxobacteraceae";8
"Anatonchidae";15
"Anguinidae";18
"Anoplophryidae";30
"Anystidae";1
"Aphelenchidae";18
"Aphelenchoididae";18
"Aphididae";26
"Apiaceae";28
"Apocynaceae";32
"Aporcelaimidae";15
"Apusomonadidae";10
"Aquifoliaceae";32
"Archaeorhizomycetaceae";17
"Archaeosporaceae";30
"Archangiaceae";8
"Ascobolaceae";35
"Aspergillaceae";17
"Asteraceae";28
"Aurantimonadaceae";8
"Bacillaceae";8
"Bacillariaceae";22
"Bacteriovoracaceae";8
"Bacteroidaceae";8
"Bardeliellidae";10
"Basidiobolaceae";17
"Bdellovibrionaceae";8
"Beijerinckiaceae";8
"Betulaceae";28
"Bicosoecidae";7
"Bionectriaceae";17
"Blepharismidae";7
"Bodonidae";11
"Bolbitiaceae";35
"Botryidiopsidaceae";22
"Botryochloridaceae";22
"Bovidae";29
"Brachionidae";7
"Brachychthoniidae";36
"Braconidae";25
"Bracteacoccaceae";22
"Bradyrhizobiaceae";8
"Brassicaceae";28
"Brucellaceae";8
"Bryometopidae";34
"Bulleraceae";17
"Bulleribasidiaceae";17
"Burkholderiaceae";8
"Caldilineaceae";8
"Campodeidae";36
"Carabidae";25
"Caricaceae";32
"Caryophyllaceae";28
"Catenariaceae";17
"Catenulisporaceae";8
"Caulerpaceae";22
"Caulobacteraceae";8
"Cellulomonadaceae";8
"Cellvibrionaceae";8
"Cenarchaeaceae";37
"Centritractaceae";22
"Cephalobidae";9
"Ceratobasidiaceae";30
"Cercomonadidae";10
"Chaetophoraceae";22
"Chaetosphaeriaceae";17
"Chilodonellidae";38
"Chitinophagaceae";8
"Chlamydomonadaceae";22
"Chlamydophryidae";38
"Chlorellaceae";22
"Chlorococcaceae";22
"Chloroflexaceae";8
"Chromatiaceae";8
"Chromulinaceae";12
"Chthoniidae";3
"Chthoniobacteraceae";8
"Chytridiaceae";23
"Cinetochilidae";7
"Cladosporiaceae";33
"Claroideoglomeraceae";30
"Clavariaceae";17
"Clavicipitaceae";4
"Clavulinaceae";35
"Clostridiaceae";8
"Clostridiales Family XVII. Incertae Sedis";8
"Colpodidae";10
"Comamonadaceae";8
"Conexibacteraceae";8
"Convolvulaceae";32
"Cordycipitaceae";4
"Corticiaceae";17
"Coxiellaceae";8
"Crocinitomicaceae";8
"Cryphonectriaceae";35
"Cryptococcaceae";17
"Cucurbitaceae";32
"Cucurbitariaceae";17
"Cunninghamellaceae";17
"Curculionidae";25
"Cyclidiidae";7
"Cyphellophoraceae";17
"Cyrtolophosididae";10
"Cystobasidiaceae";30
"Cytophagaceae";8
"Dacrymycetaceae";35
"Dehalococcoidaceae";8
"Demequinaceae";8
"Desulfobulbaceae";8
"Desulfovibrionaceae";8
"Desulfuromonadaceae";8
"Diadesmidaceae";22
"Dictyosporiaceae";17
"Didymellaceae";29
"Dileptidae";16
"Dinobryaceae";39
"Diplogasteroididae";15
"Dipodascaceae";17
"Diversisporaceae";30
"Dorylaimidae";13
"Echinamoebidae";10
"Ectothiorhodospiraceae";8
"Elateridae";26
"Elusimicrobiaceae";40
"Enchytraeidae";24
"Endochytriaceae";17
"Endogonaceae";35
"Enterobacteriaceae";8
"Entomobryidae";2
"Entylomataceae";30
"Eosentomidae";19
"Epistylidae";7
"Ericaceae";32
"Erythrobacteraceae";8
"Eudubosquellidae";22
"Euglyphidae";10
"Euplotidae";34
"Eustigmataceae";22
"Fabaceae";28
"Fibrobacteraceae";40
"Filobasidiaceae";17
"Flavobacteriaceae";8
"Forficulidae";20
"Formicidae";25
"Frankiaceae";8
"Fusobacteriaceae";40
"Gaiellaceae";8
"Galumnidae";36
"Geastraceae";17
"Gemmataceae";14
